,letra,indice_anterior,indice_binario
0,"
",0,0
1, ,1,1
2,",",2,10
3,.,3,11
4,:,4,100
5,C,5,101
6,D,6,110
7,E,7,111
8,M,8,1000
9,P,9,1001
10,T,10,1010
11,U,11,1011
12,Y,12,1100
13,a,13,1101
14,b,14,1110
15,c,15,1111
16,d,16,10000
17,e,17,10001
18,g,18,10010
19,h,19,10011
20,i,20,10100
21,j,21,10101
22,l,22,10110
23,m,23,10111
24,n,24,11000
25,o,25,11001
26,p,26,11010
27,q,27,11011
28,r,28,11100
29,s,29,11101
30,t,30,11110
31,u,31,11111
32,v,32,100000
33,y,33,100001
34,z,34,100010
35,á,35,100011
36,é,36,100100
37,í,37,100101
38,ñ,38,100110
39,Me,8,001000
40,e ,17,010001
41, g,1,000001
42,gu,18,010010
43,us,31,011111
44,st,29,011101
45,ta,30,011110
46,as,13,001101
47,s ,29,011101
48, c,1,000001
49,cu,15,001111
50,ua,31,011111
51,an,13,001101
52,nd,24,011000
53,do,16,010000
54,o ,25,011001
55, ca,48,110000
56,al,13,001101
57,ll,22,010110
58,la,22,010110
59,as ,46,101110
60, p,1,000001
61,po,26,011010
62,or,25,011001
63,rq,28,011100
64,qu,27,0011011
65,ue,31,0011111
66,e e,40,0101000
67,es,17,0010001
68,stá,44,0101100
69,ás,35,0100011
70,s c,47,0101111
71,co,15,0001111
72,om,25,0011001
73,mo,23,0010111
74,o a,54,0110110
75,au,13,0001101
76,use,43,0101011
77,en,17,0010001
78,nt,24,0011000
79,te,30,0011110
80,"e,",17,0010001
81,",
",2,0000010
82,"
y",0,0000000
83,y ,33,0100001
84, m,1,0000001
85,me,23,0010111
86,e o,40,0101000
87,oy,25,0011001
88,ye,33,0100001
89,es ,67,1000011
90, d,1,0000001
91,de,16,0010000
92,esd,67,1000011
93,de ,91,1011011
94, l,1,0000001
95,le,22,0010110
96,ej,17,0010001
97,jo,21,0010101
98,os,25,0011001
99,"s,",29,0011101
100,", ",2,0000010
101, y,1,0000001
102,y m,83,1010011
103,mi,23,0010111
104,i ,20,0010100
105, v,1,0000001
106,vo,32,0100000
107,oz,25,0011001
108,z ,34,0100010
109, n,1,0000001
110,no,24,0011000
111,o t,54,0110110
112,te ,79,1001111
113, t,1,0000001
114,to,30,0011110
115,oc,25,0011001
116,ca,15,0001111
117,a.,13,0001101
118,".
",3,0000011
119,"
P",0,0000000
120,Pa,9,0001001
121,ar,13,0001101
122,re,28,0011100
123,ec,17,0010001
124,ce,15,0001111
125,e q,40,0101000
126,que,64,1000000
127,e l,40,0101000
128,lo,22,00010110
129,os ,98,01100010
130, o,1,00000001
131,oj,25,00011001
132,jos,97,01100001
133,s s,47,00101111
134,se,29,00011101
135,e t,40,00101000
136,te h,112,01110000
137,hu,19,00010011
138,ub,31,00011111
139,bi,14,00001110
140,ie,20,00010100
141,er,17,00010001
142,ra,28,00011100
143,an ,51,00110011
144, vo,105,01101001
145,ol,25,00011001
146,lad,58,00111010
147,"do
",53,00110101
148,"
y ",82,01010010
149, pa,60,00111100
150,are,121,01111001
151,ece,123,01111011
152,e qu,125,01111101
153,ue ,65,01000001
154, u,1,00000001
155,un,31,00011111
156,n ,24,00011000
157, b,1,00000001
158,be,14,00001110
159,eso,67,01000011
160,o te,111,01101111
161,e c,40,00101000
162,cer,124,01111100
163,rr,28,00011100
164,rar,142,10001110
165,ra ,142,10001110
166, la,94,01011110
167,a ,13,00001101
168, bo,157,10011101
169,oca,115,01110011
170,"a.
",117,01110101
171,"

",0,00000000
172,"
C",0,00000000
173,Co,5,00000101
174,omo,72,01001000
175,o to,111,01101111
176,od,25,00011001
177,da,16,00010000
178,as l,59,00111011
179,las,58,00111010
180,s co,70,01000110
181,osa,98,01100010
182,as e,59,00111011
183,est,67,01000011
184,tá,30,00011110
185,án,35,00100011
186,n l,156,10011100
187,lle,57,00111001
188,ena,77,01001101
189,as d,59,00111011
190,de m,93,01011101
191,mi ,103,01100111
192, a,1,00000001
193,alm,56,00111000
194,ma,23,00010111
195,"a
",13,00001101
196,"
e",0,00000000
197,em,17,00010001
198,mer,85,01010101
199,rg,28,00011100
200,ge,18,00010010
201,es d,89,01011001
202,de l,93,01011101
203,las ,179,10110011
204, co,48,00110000
205,osas,181,10110101
206,"s, ",99,01100011
207, ll,94,01011110
208,len,95,01011111
209,na,24,00011000
210,a d,167,10100111
211,del,91,01011011
212,l ,22,00010110
213, al,192,11000000
214,lm,22,00010110
215,ma ,194,11000010
216, mí,84,01010100
217,ía,37,00100101
218,"a.
M",170,10101010
219,Ma,8,00001000
220,ari,121,01111001
221,ip,20,00010100
222,pos,61,00111101
223,sa,29,00011101
224,a de,210,11010010
225,e s,40,00101000
226,su,29,00011101
227,ueñ,65,01000001
228,ño,38,00100110
229,"o,",25,00011001
230,", t",100,01100100
231,te p,112,01110000
232,pa,26,00011010
233,arec,150,10010110
234,ces,124,01111100
235,s a,47,00101111
236,a m,167,10100111
237,mi a,191,10111111
238,alma,193,11000001
239,"a,",13,00001101
240,",
y",81,01010001
241,y t,83,01010011
242,te pa,231,11100111
243,arece,233,11101001
244,es a,89,01011001
245,a l,167,10100111
246,la ,58,00111010
247, pal,149,10010101
248,lab,58,00111010
249,br,14,00001110
250,ra m,165,10100101
251,mel,85,01010101
252,lan,58,00111010
253,nc,24,00011000
254,col,71,01000111
255,lí,22,00010110
256,ía.,217,011011001
257,".

",118,001110110
258,"
M",0,000000000
259,Me ,39,000100111
260, gu,41,000101001
261,ust,43,000101011
262,tas,45,000101101
263,s cu,70,001000110
264,uan,50,000110010
265,ndo,52,000110100
266,o c,54,000110110
267,cal,116,001110100
268,lla,57,000111001
269,as y,59,000111011
270,y e,83,001010011
271,está,183,010110111
272,ás ,69,001000101
273, com,204,011001100
274,mo ,73,001001001
275, di,90,001011010
276,is,20,000010100
277,sta,44,000101100
278,ant,51,000110011
279,te.,79,001001111
280,".
Y",118,001110110
281,Y ,12,000001100
282, e,1,000000001
283,estás,271,100001111
284,s com,180,010110100
285,mo q,274,100010010
286,quej,126,001111110
287,já,21,000010101
288,ánd,185,010111001
289,dot,53,000110101
290,"te,",79,001001111
291,", m",100,001100100
292,mar,194,011000010
293,ri,28,000011100
294,ipo,221,011011101
295,osa ,181,010110101
296, en,282,100011010
297,n a,156,010011100
298,arr,121,001111001
299,ru,28,000011100
300,ul,31,000011111
301,llo,57,000111001
302,o.,25,000011001
303,".
Y ",280,100011000
304, me,84,001010100
305,e oy,86,001010110
306,yes,88,001011000
307,s d,47,000101111
308,des,91,001011011
309,sd,29,000011101
310,de le,202,011001010
311,ejo,96,001100000
312,"os,",98,001100010
313,", y",100,001100100
314,y mi,102,001100110
315,i v,104,001101000
316,voz,106,001101010
317,z n,108,001101100
318,no ,110,001101110
319, te,113,001110001
320,e a,40,000101000
321,alc,56,000111000
322,can,116,001110100
323,nz,24,000011000
324,za,34,000100010
325,a:,13,000001101
326,":
",4,000000100
327,"
d",0,000000000
328,dé,16,000010000
329,éj,36,000100100
330,ja,21,000010101
331,am,13,000001101
332,me ,85,001010101
333, q,1,000000001
334,que ,126,001111110
335, me ,304,100110000
336, cal,55,000110111
337,lle ,187,010111011
338, con,204,011001100
339,n e,156,010011100
340,el,17,000010001
341,l s,212,011010100
342,si,29,000011101
343,il,20,000010100
344,lenc,208,011010000
345,ci,15,000001111
346,io,20,000010100
347,o tu,111,001101111
348,uy,31,000011111
349,yo,33,000100001
350,"o.
",302,100101110
351,"

D",171,010101011
352,Dé,6,000000110
353,éja,329,101001001
354,ame,331,101001011
355,e que,152,010011000
